iter	Passed	Remaining
0	14	16401
1	28	15607
2	41	15191
3	54	14893
4	67	14898
5	80	14783
6	93	14751
7	110	15123
8	124	15231
9	137	15076
10	150	14956
11	163	14934
12	176	14860
13	189	14803
14	201	14662
15	216	14770
16	229	14727
17	242	14699
18	256	14673
19	268	14590
20	281	14534
21	294	14518
22	308	14556
23	325	14693
24	339	14679
25	352	14663
26	364	14591
27	378	14587
28	391	14566
29	404	14532
30	419	14565
31	434	14591
32	447	14563
33	460	14533
34	472	14470
35	485	14456
36	499	14457
37	543	15284
38	566	15513
39	579	15448
40	593	15423
41	606	15389
42	620	15356
43	633	15306
44	646	15265
45	660	15239
46	673	15193
47	685	15131
48	700	15132
49	713	15087
50	729	15104
51	743	15088
52	756	15052
53	768	14995
54	781	14953
55	787	14772
56	800	14738
57	813	14710
58	827	14706
59	841	14677
60	854	14649
61	866	14608
62	879	14582
63	893	14564
64	906	14536
65	921	14527
66	938	14564
67	951	14541
68	963	14499
69	977	14476
70	990	14452
71	1003	14420
72	1015	14387
73	1027	14350
74	1043	14361
75	1057	14339
76	1069	14308
77	1083	14289
78	1095	14252
79	1108	14232
80	1121	14208
81	1135	14198
82	1151	14204
83	1167	14214
84	1185	14249
85	1199	14238
86	1212	14218
87	1226	14204
88	1241	14206
89	1256	14192
90	1268	14164
91	1282	14144
92	1296	14133
93	1309	14111
94	1321	14079
95	1336	14071
96	1350	14065
97	1393	14343
98	1410	14366
99	1422	14329
100	1435	14301
101	1449	14282
102	1462	14254
103	1475	14230
104	1488	14200
105	1501	14178
106	1514	14150
107	1527	14129
108	1541	14113
109	1555	14102
110	1571	14101
111	1584	14080
112	1598	14060
113	1611	14039
114	1625	14019
115	1639	14010
116	1652	13981
117	1666	13965
118	1679	13947
119	1693	13933
120	1707	13915
121	1722	13903
122	1734	13875
123	1747	13854
124	1762	13849
125	1779	13852
126	1792	13831
127	1805	13806
128	1818	13784
129	1830	13753
130	1843	13732
131	1856	13714
132	1870	13694
133	1883	13676
134	1895	13648
135	1908	13625
136	1921	13608
137	1934	13586
138	1947	13565
139	1960	13543
140	1976	13543
141	1991	13531
142	2004	13514
143	2017	13495
144	2031	13478
145	2044	13459
146	2058	13440
147	2071	13425
148	2085	13406
149	2098	13387
150	2111	13365
151	2139	13440
152	2152	13423
153	2184	13516
154	2298	14115
155	2409	14688
156	2425	14674
157	2463	14798
158	2488	14836
159	2501	14804
160	2514	14776
161	2528	14748
162	2543	14732
163	2556	14699
164	2569	14670
165	2582	14639
166	2596	14612
167	2609	14584
168	2626	14579
169	2642	14566
170	2655	14535
171	2668	14508
172	2682	14482
173	2696	14456
174	2709	14429
175	2722	14402
176	2736	14376
177	2749	14351
178	2764	14334
179	2777	14304
180	2790	14276
181	2803	14249
182	2816	14221
183	2830	14199
184	2844	14176
185	2860	14164
186	2876	14153
187	2890	14129
188	2904	14106
189	2918	14083
190	2930	14052
191	2943	14027
192	2956	14003
193	2969	13975
194	2981	13946
195	2994	13919
196	3007	13894
197	3022	13876
198	3035	13850
199	3048	13824
200	3061	13798
201	3076	13781
202	3121	13902
203	3135	13878
204	3148	13851
205	3160	13824
206	3173	13799
207	3186	13772
208	3199	13749
209	3213	13726
210	3227	13703
211	3241	13684
212	3256	13667
213	3269	13644
214	3287	13637
215	3301	13617
216	3315	13596
217	3328	13574
218	3342	13551
219	3354	13525
220	3367	13501
221	3381	13479
222	3394	13456
223	3406	13429
224	3419	13406
225	3434	13387
226	3435	13317
227	3448	13296
228	3461	13270
229	3474	13247
230	3487	13223
231	3502	13210
232	3518	13199
233	3532	13178
234	3546	13160
235	3559	13136
236	3572	13113
237	3585	13090
238	3598	13069
239	3612	13048
240	3625	13028
241	3639	13008
242	3653	12988
243	3665	12963
244	3678	12942
245	3694	12930
246	3709	12914
247	3724	12901
248	3740	12888
249	3756	12878
250	3770	12857
251	3782	12834
252	3795	12813
253	3809	12792
254	3822	12771
255	3836	12752
256	3849	12732
257	3861	12708
258	3874	12685
259	3887	12664
260	3901	12646
261	3916	12631
262	3956	12698
263	3976	12696
264	3989	12676
265	4002	12655
266	4016	12636
267	4029	12614
268	4042	12593
269	4055	12573
270	4069	12553
271	4082	12533
272	4097	12516
273	4110	12497
274	4124	12477
275	4140	12465
276	4154	12448
277	4168	12430
278	4181	12410
279	4195	12391
280	4207	12368
281	4221	12348
282	4235	12331
283	4247	12309
284	4261	12289
285	4273	12267
286	4287	12249
287	4301	12231
288	4313	12210
289	4327	12192
290	4340	12170
291	4355	12156
292	4370	12141
293	4384	12123
294	4397	12103
295	4410	12085
296	4424	12067
297	4438	12048
298	4451	12030
299	4463	12007
300	4477	11989
301	4495	11982
302	4511	11970
303	4524	11951
304	4537	11930
305	4551	11913
306	4567	11901
307	4579	11881
308	4593	11862
309	4606	11843
310	4620	11825
311	4634	11809
312	4648	11791
313	4660	11769
314	4673	11751
315	4687	11733
316	4700	11714
317	4714	11696
318	4727	11677
319	4740	11658
320	4754	11641
321	4768	11625
322	4813	11684
323	4829	11670
324	4841	11649
325	4855	11631
326	4868	11612
327	4881	11594
328	4895	11576
329	4910	11563
330	4924	11544
331	4936	11522
332	4949	11503
333	4962	11484
334	4978	11472
335	4993	11457
336	5011	11450
337	5026	11435
338	5038	11415
339	5051	11395
340	5064	11376
341	5077	11357
342	5091	11341
