OrderedDict({'n_neighbors': 21, 'p': 2, 'weights': 'distance'}) - -15.703936358423437
OrderedDict({'n_neighbors': 42, 'p': 2, 'weights': 'uniform'}) - -15.821184122434124
OrderedDict({'n_neighbors': 23, 'p': 2, 'weights': 'uniform'}) - -15.750418165200774
OrderedDict({'n_neighbors': 41, 'p': 1, 'weights': 'distance'}) - -14.53648694387758
OrderedDict({'n_neighbors': 40, 'p': 1, 'weights': 'distance'}) - -14.536682949377672
OrderedDict({'n_neighbors': 37, 'p': 2, 'weights': 'uniform'}) - -15.810049527414392
OrderedDict({'n_neighbors': 31, 'p': 2, 'weights': 'uniform'}) - -15.780650202988912
OrderedDict({'n_neighbors': 28, 'p': 2, 'weights': 'uniform'}) - -15.81437053937054
OrderedDict({'n_neighbors': 48, 'p': 2, 'weights': 'distance'}) - -15.831706511433913
OrderedDict({'n_neighbors': 1, 'p': 2, 'weights': 'distance'}) - -19.186547911547912
OrderedDict({'n_neighbors': 21, 'p': 1, 'weights': 'distance'}) - -14.248895400657066
OrderedDict({'n_neighbors': 27, 'p': 1, 'weights': 'distance'}) - -14.382579731869939
OrderedDict({'n_neighbors': 19, 'p': 1, 'weights': 'distance'}) - -14.206179577962246
OrderedDict({'n_neighbors': 1, 'p': 1, 'weights': 'uniform'}) - -17.943105378105376
OrderedDict({'n_neighbors': 1, 'p': 1, 'weights': 'distance'}) - -17.943105378105376
OrderedDict({'n_neighbors': 19, 'p': 1, 'weights': 'uniform'}) - -14.440025252525254
OrderedDict({'n_neighbors': 22, 'p': 1, 'weights': 'distance'}) - -14.27294800331679
OrderedDict({'n_neighbors': 50, 'p': 1, 'weights': 'uniform'}) - -15.12710070980071
OrderedDict({'n_neighbors': 47, 'p': 1, 'weights': 'distance'}) - -14.586403348548279
OrderedDict({'n_neighbors': 18, 'p': 1, 'weights': 'distance'}) - -14.19154646682622
OrderedDict({'n_neighbors': 17, 'p': 1, 'weights': 'distance'}) - -14.217549272419358
OrderedDict({'n_neighbors': 32, 'p': 1, 'weights': 'uniform'}) - -14.874312636500136
OrderedDict({'n_neighbors': 23, 'p': 1, 'weights': 'uniform'}) - -14.63152725848378
OrderedDict({'n_neighbors': 9, 'p': 2, 'weights': 'distance'}) - -15.854795241401831
OrderedDict({'n_neighbors': 14, 'p': 1, 'weights': 'distance'}) - -14.10390772276817
OrderedDict({'n_neighbors': 13, 'p': 1, 'weights': 'distance'}) - -14.18355045048277
OrderedDict({'n_neighbors': 15, 'p': 1, 'weights': 'distance'}) - -14.129986525417758
OrderedDict({'n_neighbors': 13, 'p': 1, 'weights': 'uniform'}) - -14.315834488334492
OrderedDict({'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}) - -16.932537082537078
OrderedDict({'n_neighbors': 49, 'p': 1, 'weights': 'distance'}) - -14.604807766790838
OrderedDict({'n_neighbors': 40, 'p': 1, 'weights': 'uniform'}) - -15.004228893666394
OrderedDict({'n_neighbors': 13, 'p': 2, 'weights': 'uniform'}) - -15.707609305109306
OrderedDict({'n_neighbors': 33, 'p': 1, 'weights': 'distance'}) - -14.472097559883636
OrderedDict({'n_neighbors': 43, 'p': 2, 'weights': 'distance'}) - -15.82852299154664
OrderedDict({'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}) - -16.932537082537078
OrderedDict({'n_neighbors': 10, 'p': 2, 'weights': 'uniform'}) - -15.8892226999727
OrderedDict({'n_neighbors': 44, 'p': 2, 'weights': 'uniform'}) - -15.824244657881021
OrderedDict({'n_neighbors': 5, 'p': 1, 'weights': 'distance'}) - -14.52576556643047
OrderedDict({'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}) - -14.479034066534066
OrderedDict({'n_neighbors': 30, 'p': 1, 'weights': 'distance'}) - -14.463875158458293
OrderedDict({'n_neighbors': 7, 'p': 1, 'weights': 'distance'}) - -14.358349785571614
OrderedDict({'n_neighbors': 36, 'p': 1, 'weights': 'distance'}) - -14.484593868074182
OrderedDict({'n_neighbors': 15, 'p': 1, 'weights': 'uniform'}) - -14.298044135044137
OrderedDict({'n_neighbors': 25, 'p': 1, 'weights': 'distance'}) - -14.371008380729222
OrderedDict({'n_neighbors': 24, 'p': 1, 'weights': 'distance'}) - -14.354208579145913
OrderedDict({'n_neighbors': 7, 'p': 2, 'weights': 'distance'}) - -15.943358749022105
OrderedDict({'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}) - -16.257020611520613
OrderedDict({'n_neighbors': 10, 'p': 1, 'weights': 'distance'}) - -14.113936831738542
OrderedDict({'n_neighbors': 9, 'p': 1, 'weights': 'distance'}) - -14.128203878015038
OrderedDict({'n_neighbors': 10, 'p': 1, 'weights': 'uniform'}) - -14.215715874965875
OrderedDict({'n_neighbors': 11, 'p': 1, 'weights': 'distance'}) - -14.150672648697627
OrderedDict({'n_neighbors': 12, 'p': 1, 'weights': 'distance'}) - -14.156889617210364
OrderedDict({'n_neighbors': 5, 'p': 2, 'weights': 'distance'}) - -16.2900548734246
OrderedDict({'n_neighbors': 47, 'p': 2, 'weights': 'distance'}) - -15.833123082694868
OrderedDict({'n_neighbors': 42, 'p': 2, 'weights': 'distance'}) - -15.83675825330568
OrderedDict({'n_neighbors': 27, 'p': 1, 'weights': 'distance'}) - -14.382579731869939
