OrderedDict({'activation': 'tanh', 'alpha': 0.0015246748254295628, 'batch_size': 512, 'layer1': 1316, 'layer2': 769, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0005033414197773552, 'num_hl': 2, 'solver': 'adam'}) - -14.143914464153914
OrderedDict({'activation': 'logistic', 'alpha': 0.004466278825224283, 'batch_size': 32, 'layer1': 1951, 'layer2': 905, 'learning_rate': 'constant', 'learning_rate_init': 0.00018906758484967925, 'num_hl': 1, 'solver': 'lbfgs'}) - -16.49199088200011
OrderedDict({'activation': 'tanh', 'alpha': 0.005703843027403095, 'batch_size': 8, 'layer1': 1433, 'layer2': 432, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0002045955144916563, 'num_hl': 2, 'solver': 'lbfgs'}) - -16.398070728866276
OrderedDict({'activation': 'logistic', 'alpha': 3.278043287004692e-05, 'batch_size': 128, 'layer1': 1803, 'layer2': 666, 'learning_rate': 'constant', 'learning_rate_init': 0.0032478881572932782, 'num_hl': 2, 'solver': 'sgd'}) - -14.638475104220802
OrderedDict({'activation': 'logistic', 'alpha': 0.0002061045404501547, 'batch_size': 128, 'layer1': 1716, 'layer2': 933, 'learning_rate': 'invscaling', 'learning_rate_init': 0.0007052711923416698, 'num_hl': 2, 'solver': 'lbfgs'}) - -15.945268952763985
OrderedDict({'activation': 'logistic', 'alpha': 0.0065782324054154415, 'batch_size': 8, 'layer1': 1188, 'layer2': 860, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0008280356368997305, 'num_hl': 2, 'solver': 'sgd'}) - -15.30819805994492
OrderedDict({'activation': 'tanh', 'alpha': 0.0021188154764215273, 'batch_size': 32, 'layer1': 1874, 'layer2': 715, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0019840609953878058, 'num_hl': 1, 'solver': 'sgd'}) - -15.927470256691105
OrderedDict({'activation': 'tanh', 'alpha': 0.0057547661357822966, 'batch_size': 128, 'layer1': 1838, 'layer2': 527, 'learning_rate': 'constant', 'learning_rate_init': 0.001385337547742264, 'num_hl': 1, 'solver': 'lbfgs'}) - -17.180335675940253
OrderedDict({'activation': 'logistic', 'alpha': 0.0012643413272636261, 'batch_size': 512, 'layer1': 1416, 'layer2': 567, 'learning_rate': 'constant', 'learning_rate_init': 0.00010002811886321582, 'num_hl': 1, 'solver': 'lbfgs'}) - -17.560188716593295
OrderedDict({'activation': 'relu', 'alpha': 0.002841123150877317, 'batch_size': 256, 'layer1': 1255, 'layer2': 705, 'learning_rate': 'constant', 'learning_rate_init': 0.0004223559458393248, 'num_hl': 1, 'solver': 'sgd'}) - -14.977528005463714
OrderedDict({'activation': 'tanh', 'alpha': 1e-05, 'batch_size': 128, 'layer1': 2000, 'layer2': 637, 'learning_rate': 'adaptive', 'learning_rate_init': 0.01, 'num_hl': 2, 'solver': 'adam'}) - -14.797078708770915
OrderedDict({'activation': 'logistic', 'alpha': 0.01, 'batch_size': 32, 'layer1': 1000, 'layer2': 300, 'learning_rate': 'constant', 'learning_rate_init': 0.007372756178575794, 'num_hl': 2, 'solver': 'adam'}) - -14.42541013461173
OrderedDict({'activation': 'tanh', 'alpha': 0.004273549475671186, 'batch_size': 8, 'layer1': 1000, 'layer2': 1000, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0001, 'num_hl': 2, 'solver': 'adam'}) - -14.853306171248926
OrderedDict({'activation': 'tanh', 'alpha': 1e-05, 'batch_size': 128, 'layer1': 1000, 'layer2': 300, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'num_hl': 2, 'solver': 'adam'}) - -14.86185869564218
OrderedDict({'activation': 'logistic', 'alpha': 0.01, 'batch_size': 512, 'layer1': 2000, 'layer2': 1000, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0004264009726890001, 'num_hl': 1, 'solver': 'adam'}) - -14.314085948660827
OrderedDict({'activation': 'tanh', 'alpha': 0.0007735896775651896, 'batch_size': 512, 'layer1': 1194, 'layer2': 717, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0005680350989837324, 'num_hl': 2, 'solver': 'adam'}) - -14.219550680240065
