OrderedDict({'C': 0.4369339947510315, 'epsilon': 0.7279980174341477, 'gamma': 6.2893244081003825, 'kernel': 'linear'}) - -15.212212539375162
OrderedDict({'C': 22.364202820542708, 'epsilon': 0.8834319621034814, 'gamma': 0.08132617181090022, 'kernel': 'poly'}) - -15.100432348349864
OrderedDict({'C': 0.6016307829589929, 'epsilon': 0.9188037991477077, 'gamma': 0.02063371728225427, 'kernel': 'rbf'}) - -16.276333686928123
OrderedDict({'C': 17.76576664980768, 'epsilon': 0.17269968983516415, 'gamma': 0.6225026900894044, 'kernel': 'poly'}) - -21.217849034166882
OrderedDict({'C': 15.783879853890564, 'epsilon': 0.43859115725448244, 'gamma': 0.3800674800490907, 'kernel': 'poly'}) - -17.384872266337375
OrderedDict({'C': 8.632012725909878, 'epsilon': 0.939430367865169, 'gamma': 0.030961467420889614, 'kernel': 'linear'}) - -14.665594768812614
OrderedDict({'C': 2.9397976202716882, 'epsilon': 0.7755890144490547, 'gamma': 0.11941772568339176, 'kernel': 'poly'}) - -15.373049938340873
OrderedDict({'C': 1.491462267977867, 'epsilon': 0.9200892172108791, 'gamma': 0.3086029766693725, 'kernel': 'poly'}) - -14.857621163256491
OrderedDict({'C': 66.36085077612337, 'epsilon': 0.7009208231767446, 'gamma': 4.1205556644879655, 'kernel': 'rbf'}) - -17.549639712066437
OrderedDict({'C': 0.010340016434251914, 'epsilon': 0.8180121896440878, 'gamma': 1.6743576591267018, 'kernel': 'linear'}) - -16.776186983763495
OrderedDict({'C': 7.503650368110224, 'epsilon': 0.9524033298929557, 'gamma': 0.034189198725539355, 'kernel': 'linear'}) - -14.670391977860074
OrderedDict({'C': 7.932599326559727, 'epsilon': 0.9649410009945584, 'gamma': 0.06471927500459003, 'kernel': 'linear'}) - -14.671410246093213
OrderedDict({'C': 11.812171817765659, 'epsilon': 0.9613941785076829, 'gamma': 10.0, 'kernel': 'linear'}) - -14.655868876334646
OrderedDict({'C': 20.528143339261575, 'epsilon': 0.9858064004414501, 'gamma': 0.01, 'kernel': 'linear'}) - -14.626399588633223
OrderedDict({'C': 32.450549054204416, 'epsilon': 1.0, 'gamma': 0.01, 'kernel': 'linear'}) - -14.632671439929695
OrderedDict({'C': 22.507815184197828, 'epsilon': 0.9875466582795369, 'gamma': 0.01, 'kernel': 'poly'}) - -17.262835522123567
OrderedDict({'C': 0.38970415588261026, 'epsilon': 0.8916881200917512, 'gamma': 1.3361753275790695, 'kernel': 'poly'}) - -17.466762609556465
OrderedDict({'C': 3.918812696200987, 'epsilon': 0.8883174918114152, 'gamma': 0.08349925100126607, 'kernel': 'poly'}) - -15.579835737282739
OrderedDict({'C': 26.40883360628334, 'epsilon': 0.9817001741257526, 'gamma': 0.01, 'kernel': 'linear'}) - -14.624308483125201
OrderedDict({'C': 100.0, 'epsilon': 0.8970537827161844, 'gamma': 0.17029280398117538, 'kernel': 'poly'}) - -16.532109996337955
OrderedDict({'C': 3.873838162282374, 'epsilon': 0.861308426072577, 'gamma': 0.02211416183866453, 'kernel': 'linear'}) - -14.72776996943872
OrderedDict({'C': 40.49331466518837, 'epsilon': 0.9601117373440271, 'gamma': 0.01, 'kernel': 'linear'}) - -14.639305836965852
OrderedDict({'C': 25.45510663008486, 'epsilon': 0.9283819969242568, 'gamma': 0.01, 'kernel': 'linear'}) - -14.621642402512157
OrderedDict({'C': 0.4654754237941092, 'epsilon': 1.0, 'gamma': 0.28196288517581863, 'kernel': 'poly'}) - -15.137129208425865
OrderedDict({'C': 0.011326732270852503, 'epsilon': 0.6176285024838968, 'gamma': 0.010000093698829572, 'kernel': 'linear'}) - -16.70650667199789
OrderedDict({'C': 21.699826935130268, 'epsilon': 0.9387177492544877, 'gamma': 0.01134051482788488, 'kernel': 'linear'}) - -14.61844471210982
OrderedDict({'C': 100.0, 'epsilon': 0.7421483403818729, 'gamma': 0.05969872280058385, 'kernel': 'poly'}) - -14.904823878442897
OrderedDict({'C': 18.787801177400812, 'epsilon': 0.896455481166341, 'gamma': 0.052103484131062916, 'kernel': 'linear'}) - -14.62951093616374
OrderedDict({'C': 2.4550779730300434, 'epsilon': 0.9765269752939388, 'gamma': 10.0, 'kernel': 'linear'}) - -14.784409806187849
OrderedDict({'C': 23.590042038567137, 'epsilon': 1.0, 'gamma': 0.048602860853969136, 'kernel': 'linear'}) - -14.619294155006722
OrderedDict({'C': 24.698364113320185, 'epsilon': 0.7977919330739427, 'gamma': 0.27389113422499295, 'kernel': 'poly'}) - -16.577946563346956
OrderedDict({'C': 25.068784281393413, 'epsilon': 0.8401138710934052, 'gamma': 10.0, 'kernel': 'linear'}) - -14.626672775313745
OrderedDict({'C': 29.51422872260496, 'epsilon': 0.001, 'gamma': 0.04139164550946261, 'kernel': 'linear'}) - -14.602961105938274
OrderedDict({'C': 25.716919837279516, 'epsilon': 0.001, 'gamma': 0.019121763656418777, 'kernel': 'linear'}) - -14.606969040360246
OrderedDict({'C': 54.32302927554827, 'epsilon': 0.001, 'gamma': 0.03568837137026914, 'kernel': 'linear'}) - -14.646278781956493
OrderedDict({'C': 18.1636894073865, 'epsilon': 0.001, 'gamma': 0.01665400624921318, 'kernel': 'linear'}) - -14.632430462506184
OrderedDict({'C': 62.67534965023332, 'epsilon': 0.001, 'gamma': 8.20316186319247, 'kernel': 'linear'}) - -14.663655812265498
OrderedDict({'C': 26.311407634341936, 'epsilon': 0.001, 'gamma': 0.022550246984866573, 'kernel': 'linear'}) - -14.604969723775943
OrderedDict({'C': 100.0, 'epsilon': 1.0, 'gamma': 10.0, 'kernel': 'linear'}) - -14.61832558779144
OrderedDict({'C': 2.0240797273688753, 'epsilon': 0.934165285066473, 'gamma': 0.22851688200553996, 'kernel': 'poly'}) - -14.874748001199583
OrderedDict({'C': 6.826533794006107, 'epsilon': 0.7218467783689817, 'gamma': 0.02212190417155027, 'kernel': 'poly'}) - -16.625883672165664
OrderedDict({'C': 21.663326032995187, 'epsilon': 0.8633742432258453, 'gamma': 0.01, 'kernel': 'linear'}) - -14.62074746109634
OrderedDict({'C': 50.59389759175384, 'epsilon': 0.001, 'gamma': 0.019500153207068383, 'kernel': 'linear'}) - -14.634885885547567
OrderedDict({'C': 0.01, 'epsilon': 1.0, 'gamma': 5.522037609646859, 'kernel': 'poly'}) - -18.523434787855535
OrderedDict({'C': 1.0628472992556106, 'epsilon': 0.9992988319360346, 'gamma': 0.33302691197057005, 'kernel': 'poly'}) - -14.84138558209562
OrderedDict({'C': 64.81460156463694, 'epsilon': 0.001, 'gamma': 0.11671852739658647, 'kernel': 'linear'}) - -14.666642002004417
OrderedDict({'C': 100.0, 'epsilon': 0.001, 'gamma': 0.245109476512304, 'kernel': 'linear'}) - -14.670768705239135
OrderedDict({'C': 19.344011108636955, 'epsilon': 0.001, 'gamma': 0.168148737593699, 'kernel': 'linear'}) - -14.622294576654365
OrderedDict({'C': 100.0, 'epsilon': 0.001, 'gamma': 0.630493650653794, 'kernel': 'linear'}) - -14.670768705239135
OrderedDict({'C': 30.242199074878705, 'epsilon': 0.0190222869393909, 'gamma': 10.0, 'kernel': 'linear'}) - -14.605370208100487
OrderedDict({'C': 29.450135191549876, 'epsilon': 0.008807573755144476, 'gamma': 10.0, 'kernel': 'linear'}) - -14.603417908484138
OrderedDict({'C': 100.0, 'epsilon': 0.04267174871416972, 'gamma': 0.01, 'kernel': 'linear'}) - -14.662218962500607
