OrderedDict({'colsample_bytree': 0.7640415835413256, 'learning_rate': 0.08846938749167613, 'max_depth': 10, 'n_estimators': 1613, 'subsample': 0.8680591793075738}) - -13.206616418465154
OrderedDict({'colsample_bytree': 0.9349553422213137, 'learning_rate': 0.1410001814373689, 'max_depth': 5, 'n_estimators': 4759, 'subsample': 0.9456511661859803}) - -13.189160107449368
OrderedDict({'colsample_bytree': 0.7779330049204607, 'learning_rate': 0.15677815829096733, 'max_depth': 4, 'n_estimators': 2195, 'subsample': 0.6751820745469395}) - -13.427766854804037
OrderedDict({'colsample_bytree': 0.9249583953429453, 'learning_rate': 0.0167343965754388, 'max_depth': 7, 'n_estimators': 4024, 'subsample': 0.8092209312217534}) - -12.906530776933801
OrderedDict({'colsample_bytree': 0.9198213766428692, 'learning_rate': 0.037144037621545944, 'max_depth': 7, 'n_estimators': 3593, 'subsample': 0.9615408290026747}) - -12.986339888654703
OrderedDict({'colsample_bytree': 0.8936112071942273, 'learning_rate': 0.16678162679202435, 'max_depth': 4, 'n_estimators': 983, 'subsample': 0.920201292582698}) - -13.480048152765809
OrderedDict({'colsample_bytree': 0.8468317434009265, 'learning_rate': 0.10204043807287104, 'max_depth': 6, 'n_estimators': 4378, 'subsample': 0.8370478701222271}) - -13.22167719013861
OrderedDict({'colsample_bytree': 0.817361227076125, 'learning_rate': 0.15738364519796957, 'max_depth': 6, 'n_estimators': 4196, 'subsample': 0.7296239929137495}) - -13.176620319610146
OrderedDict({'colsample_bytree': 0.9821911945239713, 'learning_rate': 0.08156982208605644, 'max_depth': 9, 'n_estimators': 2108, 'subsample': 0.7524259059189972}) - -13.20345442046307
OrderedDict({'colsample_bytree': 0.6014521229018973, 'learning_rate': 0.11588344218319326, 'max_depth': 8, 'n_estimators': 1310, 'subsample': 0.831465734491354}) - -13.045928587120738
OrderedDict({'colsample_bytree': 0.7040280668931505, 'learning_rate': 0.012279142893503202, 'max_depth': 7, 'n_estimators': 2925, 'subsample': 0.6923920931807305}) - -12.934247498352153
OrderedDict({'colsample_bytree': 0.7845345935567475, 'learning_rate': 0.015080971807820977, 'max_depth': 7, 'n_estimators': 3901, 'subsample': 1.0}) - -13.037116995053054
OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.19017760876677814, 'max_depth': 7, 'n_estimators': 1100, 'subsample': 0.6}) - -13.663561713533458
OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.01078279343271544, 'max_depth': 9, 'n_estimators': 585, 'subsample': 0.6}) - -12.900176582367667
